occurrenceID;type;basisOfREcord;SampleId;species;scientificName;organismQuantity;organismQuantityType;identifiedBy
Ugent:Ecopot1:0100;event;HumanObservation;Heerenlaak_24aug07;Aulacoseira;Aulacoseira;23.20;Calculated Individuals per ML;J. Van Wichelen
Ugent:Ecopot1:0101;event;HumanObservation;Heerenlaak_31may07;Aulacoseira;Aulacoseira;23.00;Calculated Individuals per ML;J. Van Wichelen
Ugent:Ecopot1:0102;event;HumanObservation;Heerenlaak_6sep06;Coelastrum;Coelastrum;21.64;Calculated Individuals per ML;J. Van Wichelen
Ugent:Ecopot1:0103;event;HumanObservation;Heerenlaak_6sep06;Pediastrum;Pediastrum;21.64;Calculated Individuals per ML;J. Van Wichelen
Ugent:Ecopot1:0104;event;HumanObservation;Heerenlaak_20oct06;Desmodesmus;Desmodesmus;20.29;Calculated Individuals per ML;J. Van Wichelen
Ugent:Ecopot1:0105;event;HumanObservation;Heerenlaak_20oct06;Mallomonas;Mallomonas;20.29;Calculated Individuals per ML;J. Van Wichelen
Ugent:Ecopot1:0106;event;HumanObservation;Kessenich_20oct06;Schroederia;Schroederia;19.45;Calculated Individuals per ML;J. Van Wichelen
Ugent:Ecopot1:0107;event;HumanObservation;Kessenich_24aug07;Cyclotella;Cyclotella;18.80;Calculated Individuals per ML;J. Van Wichelen
Ugent:Ecopot1:0108;event;HumanObservation;Kessenich_12jul07;Pandorina;Pandorina;16.67;Calculated Individuals per ML;J. Van Wichelen
Ugent:Ecopot1:0109;event;HumanObservation;Heerenlaak_17apr07;Tetrastrum;Tetrastrum;15.03;Calculated Individuals per ML;J. Van Wichelen
Ugent:Ecopot1:0110;event;HumanObservation;Heerenlaak_24aug07;Desmodesmus;Desmodesmus;13.52;Calculated Individuals per ML;J. Van Wichelen
Ugent:Ecopot1:0111;event;HumanObservation;Heerenlaak_12jul07;Schroederia;Schroederia;13.52;Calculated Individuals per ML;J. Van Wichelen
Ugent:Ecopot1:0112;event;HumanObservation;Heerenlaak_12jul07;Tetrastrum;Tetrastrum;13.52;Calculated Individuals per ML;J. Van Wichelen
Ugent:Ecopot1:0113;event;HumanObservation;Heerenlaak_20oct06;Aulacoseira_subborealis;Aulacoseira subborealis;13.52;Calculated Individuals per ML;J. Van Wichelen
Ugent:Ecopot1:0114;event;HumanObservation;Heerenlaak_24aug07;Asterionella formosa;Asterionella formosa;12.60;Calculated Individuals per ML;J. Van Wichelen
Ugent:Ecopot1:0115;event;HumanObservation;Kessenich_31may07;Aulacoseira;Aulacoseira;11.40;Calculated Individuals per ML;J. Van Wichelen
Ugent:Ecopot1:0116;event;HumanObservation;Heerenlaak_6sep06;Lagerheimia ciliata;Lagerheimia ciliata;10.82;Calculated Individuals per ML;J. Van Wichelen
Ugent:Ecopot1:0117;event;HumanObservation;Heerenlaak_6sep06;Schroederia;Schroederia;10.82;Calculated Individuals per ML;J. Van Wichelen
Ugent:Ecopot1:0118;event;HumanObservation;Heerenlaak_6sep06;Pseudoanabaena;Pseudoanabaena;10.82;Calculated Individuals per ML;J. Van Wichelen
Ugent:Ecopot1:0119;event;HumanObservation;Kessenich_22jun07;Nitzschia;Nitzschia;10.80;Calculated Individuals per ML;J. Van Wichelen
Ugent:Ecopot1:0120;event;HumanObservation;Heerenlaak_24aug07;Dictyosphaerium;Dictyosphaerium;10.40;Calculated Individuals per ML;J. Van Wichelen
Ugent:Ecopot1:0121;event;HumanObservation;Kessenich_22jun07;coccal_green_algae_cells;coccal green algae cells;10.00;Calculated Individuals per ML;J. Van Wichelen
